DBID,Name/Model,Era,Year,Technology Base,Chassis,Rules Level (Current),Tonnage,Designer,Battle Value,Cost,Rating
1085,Akuma AKU-1X,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,1959,9232480,3
1086,Akuma AKU-1XJ,Civil War,3064,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,2203,9593955,2.772727
2008,Akuma AKU-2K,Civil War,3062,Inner Sphere,Biped,Tournament Legal,95,Stinger,2253,11027250,2.875
4318,Akuma AKU-2X,Jihad,3071,Inner Sphere,Biped,Advanced,90,Catalyst Game Labs,2122,11512480,-----
4830,Akuma AKU-2XC,Jihad,3077,Inner Sphere,Biped,Advanced,90,Catalyst Game Labs,2134,13629080,-----
4319,Akuma AKU-2XK,Jihad,3083,Inner Sphere,Biped,Tournament Legal,90,Catalyst Game Labs,2170,11375680,-----
6164,Akuma AKU-3-WL,Civil War,3064,Inner Sphere,Biped,Tournament Legal,90,Stinger,2425,9793455,-----
2057,Alamo,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,75,Starbuck,1656,6797875,2
703,Albatross ALB-3U,Clan Invasion,3053,Inner Sphere,Biped,Tournament Legal,95,Catalyst Game Labs,1668,25376650,2.611111
4836,Albatross ALB-3Ur,Jihad,3076,Inner Sphere,Biped,Tournament Legal,95,Catalyst Game Labs,1902,25171900,-----
3066,Albatross ALB-4U,Civil War,3063,Inner Sphere,Biped,Tournament Legal,95,Catalyst Game Labs,1907,25291338,-----
1896,Albatross ALB-5U,Civil War,3067,Inner Sphere,Biped,Tournament Legal,95,Sleeping Dragon,1934,25758850,3.4
3969,Albatross ALB-5W (Dantalion),Jihad,3073,Inner Sphere,Biped,Advanced,95,Catalyst Game Labs,2296,29975888,-----
1407,Allis-Chalmers King Crab II,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,Motown Scrapper,2042,22790000,3.35
4789,Alpha A-1,Late Succession Wars,3030,Inner Sphere,Biped,Introductory,55,Rudel Gurken,1300,4836207,-----
2199,Alpharus GZT-ALP-01,Star League,2750,Inner Sphere,Biped,Tournament Legal,100,Fang,2050,10265500,2.75
3179,Amen'osa AMNSA-1A,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,85,Stinger,2377,8953260,-----
6491,Annihilator (BRAVO 332) C2A,Clan Invasion,3061,Clan,Biped,Tournament Legal,100,khanwolverine,2890,24434000,-----
5605,Annihilator ANH-142,Jihad,3076,Inner Sphere,Biped,Advanced,100,Kylo Kruis,2164,16025333,-----
248,Annihilator ANH-1A,Late Succession Wars,3009,Inner Sphere,Biped,Introductory,100,Catalyst Game Labs,1434,7648667,2.533333
4061,Annihilator ANH-1E,Late Succession Wars,3028,Inner Sphere,Biped,Introductory,100,Catalyst Game Labs,1625,7760667,-----
2951,Annihilator ANH-1G,Early Succession Wars,2823,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,2274,8336667,-----
2950,Annihilator ANH-1X,Star League,2779,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,1926,9753167,-----
247,Annihilator ANH-2A,Late Succession Wars,3048,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,1595,9604667,2.923077
1623,Annihilator ANH-2AC,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,100,bladewind,1938,10056667,3.571429
1839,Annihilator ANH-2AJ,Clan Invasion,3054,Inner Sphere,Biped,Tournament Legal,100,bladewind,1975,9849167,3.3
3581,Annihilator ANH-2AX,Jihad,3074,Inner Sphere,Biped,Advanced,100,Catalyst Game Labs,2553,14953333,-----
3859,Annihilator ANH-3A,Jihad,3068,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,1712,12532333,-----
1703,Annihilator ANH-4A,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,bladewind,2071,10692000,3.055556
3860,Annihilator ANH-4A,Jihad,3069,Inner Sphere,Biped,Tournament Legal,100,Catalyst Game Labs,1726,10096667,-----
2205,Annihilator ANH-4M,Civil War,3067,Inner Sphere,Biped,Tournament Legal,100,bladewind,2089,22800000,4
5725,Annihilator ANH-5A,Jihad,3072,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,1990,11520667,-----
2159,Annihilator ANH-6LG,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,100,Starbuck,1658,16646667,2
5884,Annihilator ANH-7W,Jihad,3085,Inner Sphere,Biped,Advanced,100,Ruger,1801,23550000,-----
6082,Annihilator ANH-DD,Late Succession Wars,3048,Inner Sphere,Biped,Tournament Legal,100,WC65nelson,2208,8496667,-----
1245,Annihilator C,Early Succession Wars,2848,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2520,11484000,3.954545
2953,"Annihilator C (Bryan ""Gausszilla"")",Early Succession Wars,2844,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2455,9456667,-----
2952,Annihilator C 2,Early Succession Wars,2850,Clan,Biped,Tournament Legal,100,Catalyst Game Labs,2722,9541167,-----
1764,Annihilator HUAC-125,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,Delta,2067,22890000,2.1
5195,Annihilator II ANH-II-M,Jihad,3085,Inner Sphere,Biped,Tournament Legal,100,Alisa Wolfstein,1860,23468000,-----
2119,Annihilator IIC,Civil War,3067,Clan,Biped,Advanced,100,bpm49er,3235,87894000,1.2
1342,Annihilator Nightwolf,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,100,Wanallo,2218,22462000,1.954545
2969,Anniliator III AN-1R,Late Succession Wars,3049,Clan,Biped,Tournament Legal,100,Daphne Wilde,2655,24490000,-----
2161,Annoyance AN-1,Clan Invasion,3050,Clan,Biped,Tournament Legal,20,Mordel,333,3583440,1.5
2162,Annoyance AN-2B,Clan Invasion,3052,Clan,Biped,Tournament Legal,20,Mordel,413,3797440,2.25
1669,Ant Ant-1,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,20,Khayman,518,1198240,3.5
1914,Ant-Eater ANT-8R,Star League,2750,Inner Sphere,Quad,Introductory,40,Nightmare,908,3180800,4.071429
6136,Antares ATR-1001-B,Dark Age,3150,Inner Sphere (Mixed),Tripod,Experimental (Extinct),100,Lasonda,3168,103953000,-----
4242,Antlion LK-3D,Republic,3117,Inner Sphere (Mixed),Quad,Advanced,45,Catalyst Game Labs,859,8065625,-----
5772,Antlion LK-7D,Republic,3117,Inner Sphere,Quad,Advanced,45,Stinger,1470,9883200,-----
3561,"Antlion LK-7R ""Ravage""",Dark Age,3144,Inner Sphere (Mixed),Quad,Advanced,45,Stinger,1664,9414125,-----
901,Anubis ABS-3L,Civil War,3063,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,951,5114525,2.583333
4260,Anubis ABS-3MC,Jihad,3081,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1074,5970640,-----
902,Anubis ABS-3R,Civil War,3064,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,970,5231525,0.909091
903,Anubis ABS-3T,Civil War,3067,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1150,5440175,2.85
4266,Anubis ABS-4C,Jihad,3082,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,833,5200650,-----
4115,Anubis ABS-5Y,Republic,3121,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1042,5099900,-----
4114,Anubis ABS-5Z,Republic,3124,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1066,5203900,-----
620,Anvil ANV-3M,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1441,5856960,3
798,Anvil ANV-3R,Civil War,3067,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1496,5732160,3.285714
799,Anvil ANV-5M,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1687,6372160,3.75
800,Anvil ANV-5Q,Civil War,3067,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1336,5548160,2.7
3000,Anvil ANV-6M,Clan Invasion,3058,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1366,5872960,-----
1167,Anvil ANV-8M,Clan Invasion,3060,Inner Sphere,Biped,Advanced,60,Catalyst Game Labs,1690,7108480,2.875
4353,Anzu ZU-G60,Republic,3098,Inner Sphere,Biped,Advanced,60,Catalyst Game Labs,1503,10836800,-----
4354,Anzu ZU-J70,Republic,3106,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1680,10990800,-----
4996,Apache AP-2-MB1C,Civil War,3067,Inner Sphere,Biped,Tournament Legal,35,whatadive,1342,6719648,-----
5421,Apache AP-X,Dark Age,3142,Inner Sphere,Biped,Advanced,95,lucho,2417,24840953,-----
5107,Apocalypse APA-3Q,Late Succession Wars,3030,Inner Sphere,Biped,Introductory,60,Sar Kon,1233,4997760,-----
599,Apollo APL-1M,Clan Invasion,3054,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1207,4680173,2.95
778,Apollo APL-1R,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1148,4370173,2.75
779,Apollo APL-2S,Clan Invasion,3056,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1283,4754573,3.666667
780,Apollo APL-3T,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,55,Catalyst Game Labs,1240,4708073,3.1
3416,Apollo APL-4M,Jihad,3083,Inner Sphere,Biped,Advanced,55,Catalyst Game Labs,1302,9514623,-----
3594,Aquagladius AQS-3,Civil War,3065,Inner Sphere,Biped,Advanced,50,Catalyst Game Labs,834,8409750,-----
3227,Aquagladius AQS-4,Civil War,3066,Inner Sphere,Biped,Advanced,50,Catalyst Game Labs,1486,9013500,-----
5655,Aquila AQU-3L,Dark Age,3150,Clan (Mixed),Biped,Experimental (Extinct),85,Marcus Smythe,4041,22142835,-----
5656,Aquila AQU-4L,Dark Age,3150,Clan (Mixed),Biped,Experimental,85,Marcus Smythe,3850,25211368,-----
1702,Arachne Ah-1A,Clan Invasion,3050,Clan,Quad,Tournament Legal,100,Ter Kerensky,2554,10388500,0.75
2699,Arbalest,Jihad,3077,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1029,2440417,-----
2700,Arbalest 2,Jihad,3079,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,1098,2440417,-----
4553,Arbalest 3,Jihad,3081,Clan,Biped,Tournament Legal,25,Catalyst Game Labs,921,2115417,-----
2166,Arc Angel GZT-AA2,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,55,Fang,1597,11764190,3.833333
1000,Arcas,Clan Invasion,3061,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,2484,14688850,4.142857
1001,Arcas 2,Clan Invasion,3061,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,2835,14520550,4.3125
4340,Arcas 3,Jihad,3078,Clan,Biped,Tournament Legal,65,Catalyst Game Labs,2305,16401055,-----
2109,Archangel ARC-1A,Civil War,3067,Inner Sphere,Biped,Tournament Legal,75,bpm49er,1753,15022000,1.6
2110,Archangel ARC-1B,Civil War,3067,Inner Sphere,Biped,Tournament Legal,75,bpm49er,1741,15071000,1.625
2798,Archangel C-ANG-A,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2134,21750000,-----
2799,Archangel C-ANG-B,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2069,22225000,-----
3296,Archangel C-ANG-O (Berith),Jihad,3072,Inner Sphere,Biped,Advanced (Extinct),100,Catalyst Game Labs,2060,23085000,-----
2912,Archangel C-ANG-O Invictus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2237,21765000,-----
2911,Archangel C-ANG-O [BASE],Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,1287,19230000,-----
3240,Archangel C-ANG-OA Dominus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2134,21750000,-----
3202,Archangel C-ANG-OB Infernus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2069,22225000,-----
3241,Archangel C-ANG-OC Comminus,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2010,22268125,-----
3242,Archangel C-ANG-OD Luminos,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2105,22423125,-----
3243,Archangel C-ANG-OE Eminus,Jihad,3072,Inner Sphere,Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2097,21916250,-----
3062,Archangel C-ANG-OH,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2101,23415000,-----
3063,Archangel C-ANG-OI,Jihad,3069,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2273,24505000,-----
3321,Archangel C-ANG-OS Caelestis,Jihad,3075,Inner Sphere (Mixed),Biped,Tournament Legal (Extinct),100,Catalyst Game Labs,2026,21338750,-----
2797,Archangel C-ANG-[BASE],Jihad,3075,Inner Sphere,Biped,Tournament Legal,100,ChronicRune,1287,17475000,-----
6547,Archangel Michael LAM AML1-LAM,Civil War,3067,Inner Sphere,Land-Air (Standard),Advanced (Extinct),55,Orion Starion,1925,7821403,-----
2800,ArchAngel* C-ANG- [BASE],Jihad,3075,Inner Sphere,Biped,Tournament Legal,100,ChronicRune,1287,17355000,-----
2801,ArchAngel* C-ANG-C,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2010,22203125,-----
2802,ArchAngel* C-ANG-D,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2105,22423125,-----
2803,ArchAngel* C-ANG-E,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2097,21916250,-----
2804,ArchAngel* C-ANG-O,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2237,21795000,-----
2808,ArchAngel* C-ANG-X,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2247,22540000,-----
2829,ArchAngel* C-ANG-Y,Jihad,3075,Inner Sphere,Biped,Tournament Legal (Extinct),100,ChronicRune,2115,21615000,-----
6496,Archer (BRAVO 332) ARC-2RC Roxana,Clan Invasion,3061,Clan,Biped,Tournament Legal,70,khanwolverine,2476,8003373,-----
6332,Archer (Imperial) ARC-2RC,Clan Invasion,3061,Clan,Biped,Tournament Legal,70,khanwolverine,2476,8003373,-----
4668,Archer (Wolf),Clan Invasion,3055,Clan,Biped,Tournament Legal,70,Catalyst Game Labs,2365,8112173,-----
1513,Archer ARC-17,Star League,2750,Inner Sphere,Biped,Tournament Legal,70,mud,1592,6629773,4.166667
4864,Archer ARC-1A,Age of War,2458,Primitive,Biped,Advanced (Extinct),70,Catalyst Game Labs,1269,5642640,-----
83,Archer ARC-2K,Early Succession Wars,2856,Inner Sphere,Biped,Introductory,70,Catalyst Game Labs,1356,5966773,3.892857
84,Archer ARC-2R,Age of War,2474,Inner Sphere,Biped,Introductory,70,Catalyst Game Labs,1477,6180973,3.625
4258,Archer ARC-2R (Morgan),Age of War,2474,Inner Sphere,Biped,Introductory,70,Catalyst Game Labs,1477,6180973,-----
2943,Archer ARC-2Rb,Star League,2752,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1705,6876273,-----
85,Archer ARC-2S,Late Succession Wars,2915,Inner Sphere,Biped,Introductory,70,Catalyst Game Labs,1393,6129973,3.590909
5583,Archer ARC-2SR,Clan Invasion,3057,Inner Sphere,Biped,Tournament Legal,70,Marcus Smythe,1635,13608273,-----
86,Archer ARC-2W,Late Succession Wars,3022,Inner Sphere,Biped,Introductory,70,Catalyst Game Labs,1338,6197973,2.916667
1445,Archer ARC-4K,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,70,Blackhand,1532,6488673,3.75
378,Archer ARC-4M,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1705,6944273,3.6875
1408,Archer ARC-4X,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,70,Seraph,1494,13531773,2.285714
1780,Archer ARC-5K,Clan Invasion,3052,Inner Sphere,Biped,Tournament Legal,70,Blackhand,1552,6583873,3.1
379,Archer ARC-5R,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1672,7083673,3.9
448,Archer ARC-5S,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1353,13218973,2.555556
381,Archer ARC-5W,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1337,13218973,2.4375
1020,Archer ARC-6S,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1694,11329565,3.583333
1021,Archer ARC-6W,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1405,6044973,2.071429
2030,Archer ARC-6W2,Civil War,3064,Inner Sphere,Biped,Tournament Legal,70,Sleeping Dragon,1764,6469633,3.166667
1022,Archer ARC-7L,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1881,7298270,3.625
3950,Archer ARC-7S,Jihad,3070,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1658,11405300,-----
1023,Archer ARC-8M,Civil War,3067,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1759,7185673,3.357143
3923,Archer ARC-9K,Jihad,3071,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1391,7042873,-----
5016,Archer ARC-9KC,Republic,3089,Inner Sphere,Biped,Advanced,70,Catalyst Game Labs,1361,7348873,-----
3395,Archer ARC-9M,Jihad,3076,Inner Sphere,Biped,Tournament Legal,70,Catalyst Game Labs,1811,11371640,-----
5760,Archer ARC-9QC,Jihad,3082,Inner Sphere,Biped,Tournament Legal,70,Kylo Kruis,1788,8592423,-----
4666,Archer ARC-9W,Jihad,3078,Inner Sphere,Biped,Advanced,70,Catalyst Game Labs,1774,21137007,-----
5759,Archer ARC-9WC,Jihad,3082,Inner Sphere,Biped,Tournament Legal,70,Kylo Kruis,1945,17987757,-----
5616,Archer ARC-9WX,Jihad,3082,Inner Sphere,Biped,Tournament Legal,70,Kylo Kruis,1843,17671132,-----
5618,Archer ARC-9WX-II,Jihad,3082,Inner Sphere,Biped,Tournament Legal (Extinct),70,Kylo Kruis,1839,18805882,-----
4667,Archer C,Clan Invasion,3050,Inner Sphere (Mixed),Biped,Tournament Legal,70,Catalyst Game Labs,1721,6452973,-----
6423,Archer II (Black Watch) ARC-2Rb,Star League,2765,Inner Sphere,Biped,Tournament Legal,70,WC65nelson,1554,15918007,-----
1355,Archer IIC,Clan Invasion,3050,Clan,Biped,Tournament Legal,80,Seraph,2613,21406650,3.25
6091,Archer llM,Clan Invasion,3061,Clan,Biped,Tournament Legal,75,Smooth Hexagon,2788,19752250,-----
2558,Arctic Fox AF [BASE],Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,426,4233125,-----
2559,Arctic Fox AF1,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,983,5058300,3.111111
2560,Arctic Fox AF1A,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,858,5064800,3.55
2561,Arctic Fox AF1B,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,735,4954463,2.5625
2562,Arctic Fox AF1C,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,948,5011338,2.6875
2563,Arctic Fox AF1D,Clan Invasion,3059,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,744,4895800,2
4170,Arctic Fox AF1E,Jihad,3069,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,1094,5468125,-----
4171,Arctic Fox AF1F,Jihad,3072,Inner Sphere,Biped,Tournament Legal,30,Catalyst Game Labs,891,4977050,-----
4706,Arctic Fox AF1U,Jihad,3072,Inner Sphere,Biped,Advanced,30,Catalyst Game Labs,821,5058463,-----
741,Arctic Wolf,Clan Invasion,3059,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1330,7457893,2.8125
742,Arctic Wolf 2,Clan Invasion,3060,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1511,7310893,3.714286
4214,Arctic Wolf A,Civil War,3067,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1587,8953000,-----
2964,Arctic Wolf II A,Jihad,3085,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1645,10193167,-----
2965,Arctic Wolf II B,Jihad,3085,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1678,9571917,-----
2966,Arctic Wolf II C,Jihad,3085,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1913,9738167,-----
2963,Arctic Wolf II Prime,Jihad,3085,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,2111,9738167,-----
2962,Arctic Wolf II [BASE],Jihad,3085,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,660,8712667,-----
4215,Arctic Wolf J,Jihad,3070,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1786,9768500,-----
4213,Arctic Wolf PRIME,Civil War,3067,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,1641,8823500,-----
4212,Arctic Wolf [BASE],Civil War,3067,Clan,Biped,Tournament Legal,40,Catalyst Game Labs,619,7297500,-----
2290,Argent Mongoose Mk XXX Mod GS,Clan Invasion,3050,Clan,Biped,Tournament Legal,30,master arminas,1248,6035640,-----
987,Argus AGS-2D,Civil War,3062,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1566,11884800,-----
1168,Argus AGS-4D,Civil War,3062,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1638,11843200,3.8
4288,Argus AGS-5D,Jihad,3071,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,2065,13697600,-----
4289,Argus AGS-6F,Jihad,3078,Inner Sphere,Biped,Tournament Legal,60,Catalyst Game Labs,1524,9620000,-----
4736,Argus AGS-8DX,Jihad,3074,Inner Sphere,Biped,Advanced,60,Catalyst Game Labs,1598,12323200,-----
4920,Arion,Dark Age,3136,Clan,QuadVee,Advanced,35,Catalyst Game Labs,849,5242725,-----
5091,"Armadillo (""Pinky"") VST-AR-MB1C",Jihad,3070,Inner Sphere,Quad,Advanced,60,Steelfang,2034,12247200,-----
5746,Armageddon,Dark Age,3136,Inner Sphere,Biped,Advanced,175,Alisa Wolfstein,2942,44427167,-----
2071,Armaneti AMNI-4J,Late Succession Wars,3025,Inner Sphere,Biped,Introductory,75,Warhammer: 3025,1451,6831125,4.125
2272,AS8-K Atlas,Jihad,3070,Clan,Biped,Tournament Legal,100,Evil Atlas,2535,23076000,2
5440,AS8-KC2 Atlas Jack,Clan Invasion,3061,Clan,Biped,Tournament Legal,100,khanwolverine,3119,11356000,-----
2236,Asgardian GZT-ASG-01,Clan Invasion,3050,Inner Sphere,Biped,Introductory,55,Fang,1157,4281978,3.833333
2237,Asgardian GZT-ASG-11,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,55,Fang,1349,9808762,3
5028,Ashigaru ASH-02-MB1C,Jihad,3071,Inner Sphere,Biped,Tournament Legal,60,Wildonion,1459,6768960,-----
3781,"Assassin ""Servitor""",Civil War,3066,Inner Sphere,Biped,Advanced,40,Catalyst Game Labs,1019,7337563,-----
6513,Assassin (BRAVO 33) ASN-101 Jolynn Bragg,Republic,3130,Clan,Biped,Tournament Legal,40,khanwolverine,1785,8099863,-----
6588,Assassin ASN-01,Star League,2780,Inner Sphere,Biped,Introductory,40,Orion Starion,877,3746493,-----
50,Assassin ASN-101,Late Succession Wars,3024,Inner Sphere,Biped,Introductory,40,Catalyst Game Labs,757,3457463,2.458333
1885,Assassin ASN-2000,Star League,2750,Inner Sphere,Biped,Tournament Legal,40,mud,1207,7792213,3.25
171,Assassin ASN-21,Star League,2676,Inner Sphere,Biped,Introductory,40,Catalyst Game Labs,749,3686013,3.866667
1457,Assassin ASN-22,Clan Invasion,3055,Inner Sphere,Biped,Tournament Legal,40,Blackhand,873,3610413,2.416667
6069,Assassin ASN-22a,Early Succession Wars,2900,Inner Sphere,Biped,Experimental (Extinct),40,Deathloc,999,24768427,-----
6356,Assassin ASN-22b,Late Succession Wars,3049,Inner Sphere,Biped,Tournament Legal,40,Deathloc,1036,4604693,-----
535,Assassin ASN-23,Clan Invasion,3050,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,740,3840013,3.15
1125,Assassin ASN-30,Clan Invasion,3061,Inner Sphere,Biped,Tournament Legal,40,Catalyst Game Labs,925,6305880,3
